text,date,char,sentiment,polarity,subjectivity,timestamp,Preprocess
"RT @RotoRadarCEO: The #GameOfThronesFinale is upon us!!!

If the following ends up on the #IronThrone...

🥇#JonSnow = $200 prize!

🥈#AryaSt…",05/19/2019,Daenerys Targaryen,Neu,0.0,0.1,05/19/2019 23:59:55,rt rotoradarceo the gameofthronesfinale is upon u if the following end up on the ironthrone jonsnow 200 prize aryast
"RT @RotoRadarCEO: The #GameOfThronesFinale is upon us!!!

If the following ends up on the #IronThrone...

🥇#JonSnow = $200 prize!

🥈#AryaSt…",05/19/2019,Daenerys Targaryen,Neu,0.0,0.1,05/19/2019 23:59:51,rt rotoradarceo the gameofthronesfinale is upon u if the following end up on the ironthrone jonsnow 200 prize aryast
"RT @oshawildling: daenerys targaryen’s journey was a long and sad one, but she’ll always be remembered as one of the most iconic characters…",05/19/2019,Daenerys Targaryen,Pos,0.11249999999999999,0.6,05/19/2019 23:59:50,rt oshawildling daenerys targaryen journey wa long and sad one but she ll always be remembered a one of the most iconic character
"RT @mviser: Pete Buttigieg on Daenerys Targaryen: “She’s made some highly questionable leadership decisions.""",05/19/2019,Daenerys Targaryen,Neg,-0.5,1.0,05/19/2019 23:59:45,rt mviser pete buttigieg on daenerys targaryen she made some highly questionable leadership decision
"my brave girl who survived against all odds. what a beautiful journey you had, from a exiled princess to a powerful… https://t.co/1FqWpzYtmz",05/19/2019,Daenerys Targaryen,Pos,0.825,1.0,05/19/2019 23:59:43,my brave girl who survived against all odds what beautiful journey you had from exiled princess to powerful http co 1fqwpzytmz
"RT @DanielStrauss4: Pete Buttigieg on Fox News on Daenerys Targaryen: ""She's made some highly questionable leadership decisions.""",05/19/2019,Daenerys Targaryen,Neg,-0.5,1.0,05/19/2019 23:59:38,rt danielstrauss4 pete buttigieg on fox news on daenerys targaryen she made some highly questionable leadership decision
"No matter what, #DaenerysTargaryen will be one of my all time favorite characters.  Right up there with Buffy and K… https://t.co/tirom8iN8e",05/19/2019,Daenerys Targaryen,Pos,0.39285714285714285,0.7678571428571428,05/19/2019 23:59:33,no matter what daenerystargaryen will be one of my all time favorite character right up there with buffy and http co tirom8in8e
"RT @RotoRadarCEO: The #GameOfThronesFinale is upon us!!!

If the following ends up on the #IronThrone...

🥇#JonSnow = $200 prize!

🥈#AryaSt…",05/19/2019,Daenerys Targaryen,Neu,0.0,0.1,05/19/2019 23:59:33,rt rotoradarceo the gameofthronesfinale is upon u if the following end up on the ironthrone jonsnow 200 prize aryast
So not ready for this... #GameofThronesFinale #Gots8 #FortheThrone #JonSnow #DaenerysTargaryen #TyrionLannister https://t.co/qTOVUlRMZN,05/19/2019,Daenerys Targaryen,Neg,-0.1,0.5,05/19/2019 23:59:26,so not ready for this gameofthronesfinale gots8 forthethrone jonsnow daenerystargaryen tyrionlannister http co qtovulrmzn
RT @AATalkStuff: My uncle seems to be all ready for the #GOTFinale. They made swords and converted one of the house chairs into the #ironth…,05/19/2019,Daenerys Targaryen,Pos,0.2,0.5,05/19/2019 23:59:24,rt aatalkstuff my uncle seems to be all ready for the gotfinale they made sword and converted one of the house chair into the ironth
