character_lower,character,text,sentiment,polarity,subjectivity,Preprocess
gameofthrones,GameofThrones,RT @StillBShady: Daenerys Targaryen burning down King's Landing but with Toxic playing in the background https://t.co/2tfcSc3X5g,Neg,-0.15555555555555559,0.2888888888888889,rt stillbshady daenerys targaryen burning down king landing but with toxic playing in the background http co 2tfcsc3x5g
gameofthrones,GameofThrones,Okay hate it a bit less now,Neg,-0.15555555555555556,0.4888888888888889,okay hate it bit le now
gameofthrones,GameofThrones,RT @sreekyshooter: Lmao @ the people who named their kids Daenerys or Khaleesi. What a bunch of absolute fools. If only they were as wise a…,Pos,0.375,0.95,rt sreekyshooter lmao the people who named their kid daenerys or khaleesi what bunch of absolute fool if only they were a wise
gameofthrones,GameofThrones,RT @StillBShady: Daenerys Targaryen burning down King's Landing but with Toxic playing in the background https://t.co/2tfcSc3X5g,Neg,-0.15555555555555559,0.2888888888888889,rt stillbshady daenerys targaryen burning down king landing but with toxic playing in the background http co 2tfcsc3x5g
gameofthrones,GameofThrones,RT @StillBShady: Daenerys Targaryen burning down King's Landing but with Toxic playing in the background https://t.co/2tfcSc3X5g,Neg,-0.15555555555555559,0.2888888888888889,rt stillbshady daenerys targaryen burning down king landing but with toxic playing in the background http co 2tfcsc3x5g
gameofthrones,GameofThrones,I have major mixed feelings about this episode. But I love this!,Pos,0.22916666666666666,0.45,i have major mixed feeling about this episode but love this
gameofthrones,GameofThrones,RT @StillBShady: Daenerys Targaryen burning down King's Landing but with Toxic playing in the background https://t.co/2tfcSc3X5g,Neg,-0.15555555555555559,0.2888888888888889,rt stillbshady daenerys targaryen burning down king landing but with toxic playing in the background http co 2tfcsc3x5g
gameofthrones,GameofThrones,"RT @Mr_Ambition14: Amazing read on the Mad King. Shows how he wasn’t always the mad king but loss made him lose his mind. 

Sounds like som…",Neg,-0.21666666666666665,0.9666666666666667,rt mr_ambition14 amazing read on the mad king show how he wasn always the mad king but loss made him lose his mind sound like som
gameofthrones,GameofThrones,RT @sreekyshooter: Lmao @ the people who named their kids Daenerys or Khaleesi. What a bunch of absolute fools. If only they were as wise a…,Pos,0.375,0.95,rt sreekyshooter lmao the people who named their kid daenerys or khaleesi what bunch of absolute fool if only they were a wise
gameofthrones,GameofThrones,RT @StillBShady: Daenerys Targaryen burning down King's Landing but with Toxic playing in the background https://t.co/2tfcSc3X5g,Neg,-0.15555555555555559,0.2888888888888889,rt stillbshady daenerys targaryen burning down king landing but with toxic playing in the background http co 2tfcsc3x5g
gameofthrones,GameofThrones,RT @StillBShady: Daenerys Targaryen burning down King's Landing but with Toxic playing in the background https://t.co/2tfcSc3X5g,Neg,-0.15555555555555559,0.2888888888888889,rt stillbshady daenerys targaryen burning down king landing but with toxic playing in the background http co 2tfcsc3x5g
gameofthrones,GameofThrones,RT @StillBShady: Daenerys Targaryen burning down King's Landing but with Toxic playing in the background https://t.co/2tfcSc3X5g,Neg,-0.15555555555555559,0.2888888888888889,rt stillbshady daenerys targaryen burning down king landing but with toxic playing in the background http co 2tfcsc3x5g
gameofthrones,GameofThrones,RT @sreekyshooter: Lmao @ the people who named their kids Daenerys or Khaleesi. What a bunch of absolute fools. If only they were as wise a…,Pos,0.375,0.95,rt sreekyshooter lmao the people who named their kid daenerys or khaleesi what bunch of absolute fool if only they were a wise
gameofthrones,GameofThrones,"RT @aryastarks: no matter how much you dislike her, daenerys targaryen is the most iconic character on game of thrones and people know it h…",Pos,0.19999999999999998,0.4,rt aryastarks no matter how much you dislike her daenerys targaryen is the most iconic character on game of throne and people know it
gameofthrones,GameofThrones,"Who is this ending going to statisfy? If Queen Daenerys Targaryen I is going to d*e, what was the point of this sho… https://t.co/XDGmxsOAE9",Neu,0.0,0.0,who is this ending going to statisfy if queen daenerys targaryen is going to e what wa the point of this sho http co xdgmxsoae9
gameofthrones,GameofThrones,I don’t watch Game of Thrones but I would if it was like this😂,Neg,-0.4,0.4,i don watch game of throne but would if it wa like this
gameofthrones,GameofThrones,RT @StillBShady: Daenerys Targaryen burning down King's Landing but with Toxic playing in the background https://t.co/2tfcSc3X5g,Neg,-0.15555555555555559,0.2888888888888889,rt stillbshady daenerys targaryen burning down king landing but with toxic playing in the background http co 2tfcsc3x5g
gameofthrones,GameofThrones,RT @StillBShady: Daenerys Targaryen burning down King's Landing but with Toxic playing in the background https://t.co/2tfcSc3X5g,Neg,-0.15555555555555559,0.2888888888888889,rt stillbshady daenerys targaryen burning down king landing but with toxic playing in the background http co 2tfcsc3x5g
gameofthrones,GameofThrones,RT @StillBShady: Daenerys Targaryen burning down King's Landing but with Toxic playing in the background https://t.co/2tfcSc3X5g,Neg,-0.15555555555555559,0.2888888888888889,rt stillbshady daenerys targaryen burning down king landing but with toxic playing in the background http co 2tfcsc3x5g
gameofthrones,GameofThrones,Lemme go ahead add Daenerys Targaryen since she’ll soon be on the list. https://t.co/R04L1BO3SR,Neu,0.0,0.0,lemme go ahead add daenerys targaryen since she ll soon be on the list http co r04l1bo3sr
gameofthrones,GameofThrones,RT @StillBShady: Daenerys Targaryen burning down King's Landing but with Toxic playing in the background https://t.co/2tfcSc3X5g,Neg,-0.15555555555555559,0.2888888888888889,rt stillbshady daenerys targaryen burning down king landing but with toxic playing in the background http co 2tfcsc3x5g
